Name,LunchRating
Nagomijun  ,3.05
Hiroya  ,3.57
Kenedhikurabu  ,
zensekikoshitsuizakayataketorinoneiro  ,
Miho  ,
Chabana  ,
Akayashiro  ,3.03
Sousakukoshitsuizakayasugiurakyoutoekimaeshichijouten  ,
Sakanayariichi  ,
yasaidainingukusushi  ,
nikuyanodaidokoro  ,3.03
Miyagawachousaka  ,
Kashiwa  ,
Iorisantouka  ,
Kyuushuunecchuuya  ,
kyoutokushidokoroazumaya  ,
Chizutakkarubitonichinandorisachi  ,
Shunsaifujii  ,
Hitotose  ,
Bairan  ,3.07
Setsugekka  ,3.06
yakinikutobi-ruichibakouji  ,3.06
Sandaimetorimero  ,3.04
zensekikoshitsuizakayatsukinokakehashi  ,
tounyuutonshabutoratarou  ,3.06
Dainingunagomi  ,
Mossannobetayaki  ,3.06
gionnotonjiruyasanadachiya  ,
Gottie'sBEEF  ,3.07
pasutakorekushonandoba-dougetsuneo  ,3.52
Shougetsu  ,3.07
Kampaiboupuruda  ,
teppandainingugionshou  ,3.0
Sajiki  ,
gansochiriteppanyakimotsunabeakachiriya  ,3.0
Nikumon  ,
pontochouyakinikuyaruki  ,
BAR-CERVECERIA xativa  ,
Ginnan  ,
Kyuushuunecchuuya  ,
konken  ,3.08
Yakinikuhorumonanju  ,
Yamabanaheihachidiya  ,3.48
Idutsuya  ,3.0
Kyouyoushokumatsumoto  ,3.43
Ashuckurk  ,
ITALIAN BAR MODERNTIMES  ,3.27
Aiyoxtsu  ,3.04
Chanchi  ,3.46
SHUKURA  ,
mikusoroji-ba-sumu-su  ,
Kinugawa  ,
Momojirou  ,
daikouen  ,
Gounotora  ,
Bejotamuamua  ,
Ichibakouji  ,3.5
shioriyaichie  ,3.07
Kitayama  ,
Tempurashinjukutsunahachi  ,3.02
yakinikuajidouraku  ,
IL TOBANCHI  ,3.08
Shikinoajisugiura  ,3.07
Kyoutoyakitoriseisakujo  ,
arashiyamakushibun  ,3.02
Toriasa  ,3.13
zensekikoshitsuizakayawazakurahitohira  ,
saredowa  ,
gyokouchokusoukaisensakabaanji  ,3.0
Rejon  ,3.15
Maruichi  ,
Osakenobijutsukan  ,3.04
wainandooyasaibarubejibaru  ,3.24
kaitoshirowainnobarukakimaru  ,
Yudoufutakemura  ,3.52
ajiromanishigamatei  ,3.21
Giombansankyoushoku  ,
Kyouhorumonhana  ,
Bar PLAYGROUND  ,3.05
Kyameron  ,3.08
Sumibikazuya  ,3.06
Kandumebaruamichi  ,
Ikkakujuu  ,3.0
Jounetsushokusaikyoushoku  ,3.08
Yakinikumarutomi  ,
toriiebisu  ,3.07
Kyoutokeburikawa  ,3.45
Gionyamamoto  ,3.05
Kappouyoshizen  ,3.5
Nikuryouritobatoyo  ,
jikidoukagura  ,
itaria-nasagura  ,3.52
Puranchaken  ,
